date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance,kalshi_mean_c,kalshi_median_c,kalshi_mode_c,kalshi_variance_c,kalshi_skew_c,kalshi_kurt_c
2021-08-29,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-30,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-08-31,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-01,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-02,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-03,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-04,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-05,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-06,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-07,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-08,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-09,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-10,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-11,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-12,FED-21SEP,2021-09-13,0.00255102040816326,0,0,1,91.09970412371132,6.312473969179509e-4,0,0,0,0,0,0
2021-09-13,FED-21SEP,2021-09-13,0,0,0,NA,NA,0,-0.00255102040816326,0,0,-6.312473969179509e-4,NA,NA
2022-06-17,FED-22DEC,2022-12-14,3.4974489795918373,3.5,3.75,-0.00740740740740572,3.1720146956883397,0.25063124739691794,NA,NA,NA,NA,NA,NA
2022-06-18,FED-22DEC,2022-12-14,3.4515306122448974,3.5,3.75,-0.16239316239316418,4.862125333708541,0.2023701062057476,-0.04591836734693988,0,0,-0.04826114119117034,-0.15498575498575845,1.690110638020201
2022-06-19,FED-22DEC,2022-12-14,3.4438775510204085,3.5,3.5,-0.16666666666666435,4.512649941358608,0.2736359850062474,-0.007653061224488944,0,-0.25,0.07126587880049981,-0.004273504273500178,-0.34947539234993297
2022-06-20,FED-22DEC,2022-12-14,3.4515306122448983,3.5,3.5,-0.1472868217054266,4.682680809147769,0.2725231674302374,0.007653061224489832,0,0,-0.0011128175760100056,0.019379844961237763,0.1700308677891611
2022-06-21,FED-22DEC,2022-12-14,3.4591836734693873,3.5,3.5,-0.12903225806451626,5.240998727679736,0.26491566014160767,0.007653061224488944,0,0,-0.007607507288629745,0.018254563640910326,0.5583179185319675
2022-06-22,FED-22DEC,2022-12-14,3.4336734693877555,3.5,3.5,-0.1969696969696957,4.453126943935571,0.2723865056226572,-0.025510204081631738,0,0,0.007470845481049537,-0.06793743890517945,-0.7878717837441656
2022-06-23,FED-22DEC,2022-12-14,3.4285714285714284,3.5,3.75,-0.1842105263157888,3.156967781249998,0.30612244897959184,-0.005102040816327147,0,0.25,0.03373594335693464,0.012759170653906915,-1.2961591626855729
