contract_preamble,datetime_6h_utc,datetime_6h_et,expiry_datetime,date,strike,yes_price,interval_volume,adjusted_yes_price,probability,swapped
CPICOREYOY-23SEP,2023-10-08T12:00:00Z,2023-10-08 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-08,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-08T18:00:00Z,2023-10-08 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-08,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-09T00:00:00Z,2023-10-08 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-09,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-09T06:00:00Z,2023-10-09 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-09,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-09T12:00:00Z,2023-10-09 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-09,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-09T18:00:00Z,2023-10-09 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-09,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-10T00:00:00Z,2023-10-09 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-10,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-10T06:00:00Z,2023-10-10 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-10,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-10T12:00:00Z,2023-10-10 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-10,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-10T18:00:00Z,2023-10-10 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-10,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-11T00:00:00Z,2023-10-10 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-11,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-11T06:00:00Z,2023-10-11 02:00:00 EDT,2023-10-12T12:00:00Z,2023-10-11,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-11T12:00:00Z,2023-10-11 08:00:00 EDT,2023-10-12T12:00:00Z,2023-10-11,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-11T18:00:00Z,2023-10-11 14:00:00 EDT,2023-10-12T12:00:00Z,2023-10-11,2.4,0,NA,98,0,FALSE
CPICOREYOY-23SEP,2023-10-12T00:00:00Z,2023-10-11 20:00:00 EDT,2023-10-12T12:00:00Z,2023-10-12,2.4,0,NA,99,0,FALSE
